,Airport Name,Country,City,Latitude,Longitude
FAZ,Fasa,Iran,Fasa,28.891756,53.723339
FBD,Faizabad,Afghanistan,Faizabad,37.121903,70.518544
FBE,Francisco Beltrao,Brazil,Francisco Beltrao,-26.059206,-53.063453
FBG,Simmons AAF,United States,Fort Bragg,35.132069,-78.936207
FBK,Ft Wainwright,United States,Fairbanks,64.836724,-147.616223
FBL,Municipal,United States,Faribault,44.327544,-93.310668
FBM,Luano,Democratic Republic Of Congo,Lubumbashi,-11.591333,27.530889
FBR,Fort Bridger,United States,Fort Bridger,41.393403,-110.406115
FBS,Friday Harbor SPB,France,Friday Harbor SPB,44.36833333,-1.13083333
FBY,Municipal,United States,Fairbury,40.182972,-97.169278
FCA,Glacier Park International,United States,"Kalispell, MT",48.310472,-114.256
FCB,Ficksburg Sentra Oes,South Africa,Ficksburg,-28.823119,27.9089
FCH,Fresno-Chandler,United States,Fresno,36.732119,-119.820332
FCM,Flying Cloud,United States,Minneapolis,44.827467,-93.458575
FCN,Cuxhaven/Nordholz,Germany,Cuxhaven,53.883333333333,8.7
FCO,Leonardo da Vinci International (Fiumicino),Italy,Rome,41.804475,12.250797
FCS,Butts AAF,United States,Colorado Springs,38.678389,-104.756571
FCT,Firing Center AAF,United States,Yakima,46.666516,-120.453953
FCY,Municipal,United States,Forrest City,34.941998,-90.774966
FDE,Bringeland,Norway,Forde,61.391111,5.756944
FDF,Lamentin,Martinique,Fort De France,14.592222,-60.996389
FDH,Friedrichshafen,Germany,Friedrichshafen,47.671317,9.511486
FDK,Frederick Municipal,United States,Frederick,39.417583,-77.374306
FDR,Municipal,United States,Frederick,34.352096,-98.983909
FDU,Bandundu,Zaire,Bandundu,-3.311319,17.381683
FDY,Findlay,United States,Findlay,41.012028,-83.668611
FEA,Fetlar,United Kingdom,Fetlar,60.6,-0.867
FEB,Sanfebagar,Nepal,Sanfebagar,29.233,81.217
FEC,Feira De Santana,Brazil,Feira De Santana,-12.25,-38.95
FEG,Fergana,Uzbekistan,Fergana,40.358761,71.745022
FEJ,Feijo,Brazil,Feijo,-7.0,-36.016666666667
